,label,tweet
21,sadness,paruh hati iri lihat orang anak yg bisa duduk jalan sama ibunda paruh hati turut empat lihat orang anak yg gundah ibunda sakit sabar kawan moga allah beri yg baik kita semua
22,happy,aku senyum bukan arti hidup sempurna aku syukur apa aku punya apa yg tuhan ikan ku
23,sadness,mau tdr tidur sampe bgn tdr kok yaa kayak ngerasa aneh ga enak hati udah bawa istighfar aja bgn tdr kayak sedih kayak mikir ga puguh knp bgt coba
24,love,kan peluk engkau erat hingga tak orang yang rebut mu peluk ku happy anniversary syg
25,anger,kalo mau ganti presiden harus jelas siapa calon terus adu program kerja koalisi ditentuin bisa cuman buat kaos tagar
26,happy,sukses keren banget dgn no kualitas bhn krja cita pu waris ampe cu sukses tims bbpjn barokah limpah
27,anger,udah mau sarjana kali mbokya mulut nya jangan tinggal buat ajar sekira ga perlu ungkap nambah dosa nyakitin hati orang mending diem bae lah kasi nya yg julidin sm orang
28,anger,gimana orang ga nilai dr jilbab syar nya kadang gemez sm orang yg kelas diem bae eh grup wa bisa nyeletuk arah social harassment
29,fear,hari jadwal presentasi proker lppm karna praktikum jadi pak ketua teman sekretaris selaku tanggung jawab di sekretaris jadi deg deg an bismillah pak ketua btw pen upload foto pak ketua jangan dulu yaa
30,anger,foto di instagram ada cuma lupa password instanya jadi ngga di buka pasti salah perintah instagram pakai password segala tuh sampai lupa khan gw
31,fear,drama kmarin sore hari puasa trus pas lg mandi kaget bcz datang tamu tak undang pas bgt woi pas adzan maghrib trus jd galau dong hari anggap sah puasa apa enggak
32,sadness,sungguh cinta berat sekali pisah dengan selalu bikin baper tp sukses lupa laper url
33,anger,pas uda kirim si kurir telp ngeluh mager buat nganter alamat yg bener malah minta ketemu titik yg tau itu gamau susah no puter balik hrs arah sama arah kendara jalan
34,happy,akhir akan lewat semua semua dulu bayang betapa sulit lalu di akhir hanya ajar ajar ajar petik semua hikmah bisa petik siap depan
35,love,pasang seringkali ibarat rumah rasa nyaman sama nyaman ada rumah kamu jadi apa kamu selalu pulang tuju
36,fear,tau kalo rasa sakit hati memamg sulit ada kala nya jenjang rumah tangga jangan lah di publik situasi ini media jahat enggak selesai masalah lontar kata kata
37,happy,ponakan kls sd lg demen nonton video tutorial masak craft youtube gw kls sd udah baca novel marga amp mira minjem punya sepupu
38,happy,bberapa tahun kemudian sejahtera keluarga makmak teus tingkat sampai suami dpet pangkat yg tinggi kurang paham tentang pangkat tni poko hidup bekecukupan
39,sadness,bukan dukung doa cuma sikap apa sudah pilih upaya tahan sini aku jauh bahagia lihat sedih kebahagianku pudar saat kala terima undang nikah
40,happy,jne jnt lama pake entah kirim paket beli olshop jastip luar kota sampe beda pulau maksimal hari sampe mau dia pake mobil susah cari alamat bingung gabisa masuk kompleks gang meski malem sekalipun bain jalan rumah sampe paket kirim dgn baik
41,anger,gemes bgt sama orang yg anggap wajar leceh sexual verbal mau verbal fisik apa tetap benar
42,fear,apa hukum main musik stad jelas haroooom hukum dosa main begitu kira kira cakap yg jadi pena orang ustad buah acara tv yg intro pake musik
43,anger,apa hebat mardani sy oeang cuma besar mulut aja fakta saat blm sebut capres lagipula kalau koalisi pks gerindra mungkin lah yaow
44,sadness,iya ibu nya ngelahirin anak yaitu cewek tpi gak tahu tahun berapa nya lanjut yg tadi baru aja tahun kasih nikmat datang lgi uji buat si makmak kali mungkin berat di tinggal suami tinggal ketika ibu jadi singel parent
45,happy,suka twitter soalny perempuan ji semua teman dsni biar omel sampe tablengker ndada bahaya bahas monsteration jg bebas bahas nda puasa jg bebas wa mo update status stres monsteration kt pi dl blok semua cowo baru mengupdate
46,anger,ngerti sama ciwi ciwi nyinyirin via vallen dia korban loh susah itu saling support satu sama gurlzz
47,anger,hari libur rencana mau nonton jurassic world kaya gajadi deh ingat kondisi yg gak fit bgt sebel rusak rencana belanga sebel akutu
48,anger,nah yg nunggu anak anteng sabar luas samudra trus bapak dateng bikin anak nang hmmm ingin marah lampias
49,love,ku rindu bisik mu telinga kau kata moga kelak kau jadi anak yg guna banyak orang moga kau selalu sayang orang tua mu
50,anger,hasil sekolah asal sekolah mikirlah mahkamah internasional punya wenang adil perkara genosida dsbnya
51,anger,lah elu harus tanya teh bisa asumsi guw mah kacang kulit maksud apa hayo sana kan maksud loooo
52,anger,web permata krg profesional program cashback rb token pln waktu klik info masuk program paket kuota data piye iki
53,fear,nah yg takut mas di tumpang politik balut agama yg bahaya soale masyarakat sedang sensitif dgn sebut
54,sadness,mau cerita siapa kalau udah kayak begini hancur hidup pikirin dong gimana hati ku aku sedih aku nang tetes air mata kayak lirik lagu sayang pia palen deh wkwkw
55,sadness,hari puasa saur gak pernah siang akhir hari ngerasain makan saur supeerrr dupeerr ekspress menit imsak baru bangun yassalaaam
56,fear,jdi thr dri apbd punya kuasa takut kalau kalau garis bawah sama kpk jadi ggl dpt thr tahun kok gitu buk tri bilang aman lain takut
57,anger,bantu kenapa lptop kali kok gabisa buka dokumen not responding pdhal sudah pernah bawa hp center smg lptop masuk produk gagal gimana beli maret kalo gin trs kan jd jgkel sndri
58,anger,udah masuk proses jual pas buka detail ko malah gin produk sedang proses proses tgl
59,anger,semen indonesia nambang loh rembang malah usaha yg lokasi meter dr areal tambang semen pernah protes ini tahun lama knp kok pas semen protes
60,anger,siapa yg bilang punya anak senang ros sodorin anak yg tantrum karna ngantuk tp gak mau bobo istigfar kenceng
61,sadness,rasa oon tahu boleh bicara orang nah lalai malah balik jadi malah rubah siklus dan alur waktu harus jadi
62,anger,punya sahabat cowo nih sering nya ga konsisten terus sering bohong kenapa sih udah kali dimarahin karna sering bohong ga mempan apa kodrat suka bohong apa gimana
63,happy,kalau tau libur panjang lebaran tuh rasa ken cepet gendong cerrier pake sepatu trus pergi ketemu alam damai dengan
64,anger,siapa bilang kafir gabung sama khilafah bro jgn alih isu itu siapa selundup kaum bumidatar se olah pro pancasila url
65,happy,btw doa restu orang tua emang giling pas udah mentok nyari literatur tambah nemu aja dong rumah padahal kemarin udah panik kudu mesen banyumas ini berkah ramadan url
66,anger,salah satu contoh tau terima kasih pdhl datang pas sdh kenal pi wannaone ckckckc yg dl juang siapa jawab sendiri ma ko deh wan na one swing entertainment warns legal action against fansite masters url via
67,fear,dri pgi ngerasain sakit perut kirain mau haid udh beli kiranti pas cek malah kaga plis atulah haid skrg aja biar ikut solat ied
68,sadness,turut duka cita buat kawan cak moga keluarga yg tinggal di beri sabar amp meridoi pergi alm
69,anger,jaring mati tidak buka mobile jkn mau puskesmes trus piye mau tunjuk kartu elektoniknya
70,anger,lo lahir bom sekolah bong rasa bapak lo pki bong bandit rampok jenis yg menganggu orang banyak pak soeharto bilang kejam oleh orang pki bandit rampok bong bong bongakkk url
71,anger,yang usaha terus skrg jd karyawan macam gue bawaannye pgn usaha ga yang ngatur flexible lbh banyak duit faaak
72,sadness,salah satu efek rapi sama bom orang mau bikin event negara takut jogja indonesia jadi aku event internasional beberapa negara konfirmasi takut sama rapi sama teror moga rapi lekas reda moga ngga ada bom
73,anger,baik gubernur anies baswedan mosi tdk percaya biar lengser url
74,anger,kaum oposisi bikin geger an media termsk medsos rupiah kuat musim ribut nya khusus wkt jadi lemah dg salah semua kpd presiden url
75,sadness,puasa tp dri pagi udah kesana kemari mmbawa alamat eh ayuting kalee enggk ding knpa siang tetangga sbelah goreng telur yah kan bau smpe idung gw hikss piye sih mbak
76,anger,heee aku kemarin ngeliat hoak tetang pohon plastik pertama kali dr akun ygdisebarkan lewat fb bukan nol besar tp skaligus nonjok muka junjung sdr terima kasih
77,anger,min gimana kurir salah kirim malah alamat orang trs tanggung jawab gimana respon cepat thanks url
78,fear,pas banget gue habis baca buku bule pdkt bilang cariin rumah sama mobil dicariin mobil sama rumah mewah si bule dan niat kirim uang jt tp pake pos bilang sama hadiah tp gak masuk akal kirim banyak pake pos url
79,anger,masalah uang buat konsumsi buka puasa bareng anak yatim harus bayar katering
80,sadness,niat masjid sholat nya lantai harap obob manjah krn biasa ga banyak yg solat sini fact fullhouse mpe shaf belakang bhay
81,happy,paling excited kalo ngobrol sama orang kreatif siap kalo bakal cengang sama ide yang mungkin pernah pikir oleh iya aku baru pikir
82,anger,miris cipta karya susah payah uras pikir tenaga waktu materi kalah oknum yg jiplak atau dar terima beres manfaat karya orang dengan gimmik sensasi gimana
83,anger,belah mana stereotyping nya nyata coba tunjuk siapa tahu salah bicara bagus dong kalau banyak kecam makin banyak makin dengar suara benar makin bagus kalau benar kalah keras sama salah yang atas url
84,anger,tipikal cowo menye menye bgt ni paling ngga ajak argumen salah orang keluh terus ni manusia maha sempurna pen ngatain goblok puasa
85,happy,tiada henti ny ucap syukut alhmdllh skrg aku bsa uang jadi panitia kmrn alhmdllh trmkah kau bri brlmpah mski tak sbrpa inysllh lma mmbukit amn url
86,anger,kamu mau ngomong apa kayak kamu dendam kpd anies pernah sakit olh gub anies salah apa anies kpdmu knp dendam kamu klmpok dki yg tdk puny gub anies bukan url tempat kamu maki anies salah url
87,sadness,group keluarga udah ngomongin mudik duuh ken mudik apa daya suami libur cuma hari dr hari lebaran juga kalo di telpon suruh masuk tahun lalu malah habis sholat eid lgsg kerja
88,sadness,orang yg pernah kalah tarung politik sulit bisa sembuh mereka tdk bs raih impi sdh hilang banyak harta
89,sadness,nggada sinyal rumah buat banyak berfikir berfikir doank pikir mana mana random pasti dia
90,fear,khabar kasus tuduh chat mesum imam besar habib rizieq sdh henti mohon bantu doa moga benar ada moga suci ramadhan buka mata hati bapak yg sidik amin
91,fear,jangan ngecengin gua ya gaes orang udah blog nya ya walaupun nulisnya jam dinihari sih
92,anger,cari orang yg selalu sudut ansor sabar bagus tp kalau terus terus fitnah salah jangan tinggal diam saat
93,love,halohaa selamat siang denise udah pulang sekolah nih jangan lupa makan siang oh iya gimana udah sehat kan kamu kalo emang kurang sehat banyakin istirahat aja sekarang kk selalu nunggu kok tweet
94,anger,lah bodoh mu bong suruh baca mau baca pbb cikal bakal masyumi pbb keluarga besar bulan bintang masyumi dasar bong
95,fear,mudah terupload smua mudik karna fans modal quota butuh daerah jaring bagus hiksss hitung jam br slsi kalo mo donlot di rumah pi
96,anger,orang dukung khilafah memang di black mail url
97,anger,jangan sok akrab ye mention mention gue maling dulu aje yg bener kalo udah sukses jadi malingnye baru gue bales mentionan lu lu url
98,happy,alhamdulillah prof bicara malam adem rasa moga bawa berkah aamiin yaa rabbal aalamiin
99,happy,keren kira kira yg bilang pak anti islam triliun hektar jadi kampus rujuk islam dunia kelas al azhar lagi proyek ponpes madrasah masjid fasilitas ummat kl ada yg bilang beliau an
100,anger,kan datang tanya kemudian ngobrol tuh sama mba mba help desk tetep ga ngerti ga dapet jawab yg jawab tanya trus mbanya lama lama emosi yaudah makin ga jawab dong trus saya pulang
101,anger,sering tuh gua digituin pas kalo baru ketemu apsara kok awat makin banyak makin gendut aja sih wah senyum aja iyain aja dalem hati bacot lu anjing
102,fear,kalo sifat buruk mungkin rubah tambah umur ubah ada kalo biasa buruk mungkin sulit karena macam udah jadi hobi gitu ga sih
103,fear,desa bejubelan krl salah satu goda puasa dpn nya wanita cantik ngunyah tahu gejrot hehe
104,anger,nyata cm slogan doang stelah dkomplen nyata dbatalin pihak nama besar ndak jamin profesional trus nyampein pihak official store klo sy yg batalin pdhl samsek ga sy batalin jd skrg sy udh tau kal
105,happy,happy birthday to us and happy th anniv wkwkwk bentar kita putus huhu aku cari pacar baru url
106,fear,terus baca komennya bilang kalo musik haram bla bla nah sini aku tau kalo fanatik kan emang gaboleh tp kalau dar suka gitu gimana
107,happy,rabu anakbujangku selesai tempuh didik tk bhakti ibu bakauheni eit nyata dapat piala jugak hehehe
108,anger,hidup zaman presiden hebat soeharto beliau buat aman tenang masyarakat tenang kaum pki kaum rampok kaum bandit kaum yg jadi jabat negara otak kosong kaum yg tidak suka bapak soeharto url
109,happy,sama segenap dewan guru terimakasih bimbing anak lama bu moga ibu ibu semua mudah segala urus ilmu ibu ajar jadi amal jariah pahala terus alir ibu lama url
110,anger,gue emang cuek sih bgt bgt malah tp kl yg buat risih gak nyaman hati aja lah pokok jangan sampe gue ajak nongkrong breng
111,sadness,anda yg anugerah gigi rapi lahir syukur pake behel nyata lebih sakit sakit hati
112,happy,alhamdulillah pie rsup kariadi bener urus jd gak panas tinggi lg soal langsung kasih paracetamol yg botol
113,anger,lihat udah terlalu banyak project jatohnya malah jadi scam fraud asli gue ken coba deh bawa sama creator creator yang udah bawa kabur duit banyak orang masuk gue ranah hukum indonesia
114,anger,soal via vallen gue sepakat sama nikita mirzani jangan lebay kalau gak suka gituin tinggal tolak block tu orang jgn share jadi konsumsi publik kek tampil polos tak dosa gimana gituu
115,fear,baru ngerusuh balai desa terus pas mau pulang tadi bu lurah nanya mba ulfah teman satu mana sih kok ndak lihat hah teman buk bu lurah iya biasa bareng senin ndak berangkat lho wait senin
116,fear,mba pps tuh apa apa mba ulfa pasti ngerasa kok ga ada sebentar sebentar kenapa sih senin ga berangkat bikin khawatir aja
117,anger,hadeh lagi satu cewe yg udh pikir jahat jari jari jahat nikmat heh mbak emang nyanyi dangdut auto lonte lonte bisa kena sexual harassment mbaaaak
118,sadness,lu ngapa si galau mulu lu kalo galau banyak diem kalau lg neng gabisa diem mangat dong kak nanas neng bisa nularin orang loh wkwk
119,anger,juta kali bong kasih tau pak harto kejam pki bandit rampok lo turun kelompok mana bong hahahahaha
120,happy,sebentar ketemu krucil krucil ponakan gemesin banget suka nya minta main antem antem seru sih meski resiko gel gel nanti sedikit sedikit ngajarin hitung lagi pas masuk sekolah
121,anger,lalu bagaimana negara hilang banyak dapat cukai rokok hutang negara akan makin banyak ah kan benar coba lihat bagaimana apa dapat sama url
122,fear,eh numbuhin brewok buat nyenengin diri sendiri sih compliment sama cowok bonus lah ga rawat dikit langsung tumbuh liar gatel banget
123,anger,kosan deket kantor dateng paling telat trus kalo siang tidur selonjor sofa temen kantor kaya gin emang perlu dikatain tai sih
124,anger,si ngga enak dewe lepas tanggung jawab backers cuma dasar toc kickstarter selaku sedia platform crowd funding creators backers toc tetap tunduk hukum laku governing law si toc gue mau cari legal loophole nya url
125,sadness,anak sma habis pisah macam wisuda sekolah foto bareng sama temen temennya jawat dgn pakai kebaya lalu post ig caption siapa yang bakal nikah duluan ku langsung tunduk lesu seraya minum extra joss cuk
126,happy,awak sih jd org slow mau omongin to asal ale bnyk makan ngga cranky berat naik udh bahagia mslh apa jd kyk ngga ibu bgt sih skrg
127,anger,ganti presiden siapa takut siapa calon apa si doi yg onoh ih gak syudih
128,anger,tipu kasihan ibukota negara gw pimpin sama yg haus jabat penting rakyat tai buat
129,fear,pergi antar sama teman gak bawa hp udah janji biar jemput jam tengah krna saya tidur yg jemput gak nongol bingung mau gmna akhir jalan kaki km siang bolong ngeri kali lahh vanashh syekaleh vemirsyahh
130,sadness,iya kamu laki laki sang ambil putus kan aku ingin anggap ajak diskus minta dapat ajak cari jalan keluar sekadar tenang cemas aku ada jangan hidup sendiri
131,sadness,akhir kata aku ga mau sakit knp migrain dtg lagi byknya masalah yg butuh tenaga mikir bentar lg harus mudik allah coba
132,happy,ken cerita kemaren gak sempet beberapa hari yg lalu tarawih masjid gak konsen banget posisi apes gimana gak posisi solat shaf depan mas pake sarung trus sarung nya nyeplak pantat pas banget ketat kampret pen ngakak tp solat syit
133,happy,congratulation moga lancar dapat sempat pandang orang orang panggung break leg url
134,fear,gak jamin deh gana pak police siap gak kerja pungli jenis korup pungli bagai addicted sekali nyoba enak nambah deh
135,anger,looh kok rendah semangat lindung perempuan sih justru jadi cewek kudu tegas galak sama laki kek gitu block aja udah ngapain share sampe se indonesia tau
136,sadness,udah minggu ga kabar wkwkwkwk aku sibuk ngurus rapot sama ijazah anak terus ga nanya kabar juga lama minggu sahabat macam apa kamu
137,sadness,haaaa syabar ajaaa bom waktu buat ikutttt perintah ajanihhh yg tumben ngasih libur kepanjangaaannnnnn
138,anger,mohon jangan paksa buat include dmn harap sopan jelas kalo mau bo jangan labil gajelas will be block saja yg taatin rule utama
139,anger,buka pernah amandemen cebong busuk atas berkat rahmat allah maha kuasa lo baca buka uud situ semua dasar negara bongo memang bongak
140,anger,apa sih susah apresiasi sedikit aja sama apa udh dilakuin oranglain dgn ngasih hak nya tepat waktu kira gap butuh kali gilir masalah kerja no mau lg ijin libur ttp ae hajar trs ketjewalah
141,anger,tutup mata krn jabat bkn cuma pinter tp tau etika masa dlm satu kabinet main nyerang berani berani tp etika dmna emg kabinet gundul
142,happy,ngapain rame mikir nyari baju lebaran emang ya kalau aq mah tiap hari pake baju lebaran soal kl pake baju sempit ngaaap
143,happy,lewat tengah hari moga hari senang yuk semangat
144,sadness,gw tu biasa beli shopee pake atm manual asal cocok jumlah verifikasi otomatis eh enak jadi teledor pake akun sepupu gw malah ga otomatis pesanannnya kecancel allah malih gw kapan renti goblok
145,sadness,kaya gw kalo shopee emang jangan nitip akun orang deh mo irit ongkir apa gmana dulu nitip firsta sen lenti donghan yg datang boneka pokemon
146,happy,terima kasih temen hmj awat stikes al irsyad cilacap bagi bahagia sama mbah kakung mbah putri url
147,sadness,gue suka neng sama nama maling cuma gue gak neng kalau maling digebukin bonyok banget sampai bakar bunuh
148,anger,manusia rakus bunda menteri udah advokat rampok banyak tahu rahasia negara waktu istana sama orba bandit bingit
149,anger,pln emg php surat edar maintain daerah sampe jam skg udh jam listrik hidup jg kalau telat dikit bayar tagih langsung denda klo mati listrik mulu dapet potong gak
150,happy,supporter gue ga suka barca bagai cinta sepakbola gue suka film keren lahhh url
151,anger,konyol bgt mbak komentar main ignore aja kira gitu sepele banget ga nyaman makanya publish biar ngasi ajar buat orang yg mau punya niat goda biar gak nerusin niat klo ga pingin permaluin reminder bua
152,anger,fahri aktivis nol isi mana reformasi mu rubah apa koar koar bebas negeri mustinya golkar loe bubarin harto turun golkar lenggang jaya kata amien raisa bodoh
153,anger,thread sembah wanita yg permisif leceh yg alami wanita lain alas jadi itu banyak jadi ga yg adu khanmaen url
154,anger,yg lebih geli ketimbang kasus sexual harassment yg timpa via vallen politis amp partai politik manfaat sbg panggung tunjuk dgn dalih bela korban
155,happy,ko si drummer lucu sih muka kek tengil ngegemesin terus mulai dibiasin receh gue punya bias
156,sadness,macet parah kemang belah mobil gw parkir gerobak mie ayam luar biasa gugah selera padahal baru ngeliat gerobak doank
157,anger,pernah ngomel karna diginiin trus bang ojolnya malah nyolot blg kalau ikut macet jalan normal yang rugi neng bensin jauh mba muter balik rugi wth
158,happy,hbd my lovely wife amie amoy wish all the best moga selalu ada dalam lindung swt panjang umur senantiasa bahagia sama keluarga kerabat sehat selalu makin banyak rejeki selalu jadi wanita yg hebat keluarga aamiin url
159,anger,satu yg mana bong hahaha habibie copot jabat pak prabowo ulah si wiranto wiranto dipake habibie jadi pangab tragedi yg tanggung jawab pangab bong bongak tembak polisi
160,anger,baik kalau soal ham mau tanya koruptor waktu maling mikirkan hak orang ngak koruptor sendiri langgar ham cuma koruptor bela koruptor politis bebal
161,anger,kamu lahir bong tanya sama mak mu biar jelas pki zaman soekarno bong lanjut orba lalu basmi jadi salahsatunya keluarga
162,fear,jangan viralkan ntar oposisi biasa nyinyir kejang sakit jantung kalau sakit hati memang sdh kronis sulit sembuh
163,happy,ngakak ane liat wkwk
164,anger,coba hubung yg cakung minta wa balik tanya prosedur beli hari sejak jumat difollow up demikian service maksindo
165,sadness,tmn nya laki gw almh th tinggal waktu pda hidup ngintil aja kmna laki alh gw mlangkah ngikut suka nlpon nelpn kantor panjang katakata nya suami almh waktu jatuh cinta ksi gk bsa dtang rmah duka rs husada orang nya neng ketawa comblang laki ku hdhhh sedih
166,sadness,woah buat urus fitnah dimusuhin bikin gamau sekolah gara gaada yg mau temenan trauma minggu malam besok pagi sekolah bikin malu depan banyak orang aku lewat semua
167,sadness,rencana gak pulang mau garap project nyata gak sentuh sama sekali tau gin mah pulang weh dr minggu kemaren hm hikmah ramadhan mungkin emang perlu lewat yah buat ajar aja
168,sadness,dia tindak bukan leceh seksual bener kan kata gw ilmu ga dapet jadi ga ngerti deh apa apa aja masuk leceh sexual url
169,anger,dear sy kirim dokumen penting jkt sby makanya sy pake yes kirim senin juni sampe selasa juni skr hari rabu belum sampe kan bikin esmosi sy udah byr lbh pake yes gak nyampe hari no resi sy
170,anger,yaelahh ente dr partai sapi kurang kelon ente junjung ente kaga punya nyali kalah sama ahok berani hadap kasus lebaran tiba jik pulang kaga peler
171,sadness,mama murid rikues anak masuk kelas sama banyak murid hopeless tau bakal masuk di kelas karena rumor yang edar guru galak
172,sadness,siapa yg laku ke aku teman teman yg mostly perempuan udah ga heran ngeliat perempuan dijahatin sama perempuan aku alami
173,fear,sekarang ntah sejak kapan pikir gue ubah kalo gue pikir share yg gila gue pikir tulis twitter ig jempol netizen tak kalah
174,anger,nah yg terlalu adl kalo pjbt eselon yg salah laksana atas suatu salah dokumen yg ttd paraf istilah gak mau salah pdhl tugas jabat neliti dokumen sblm dittd paraf tgjawab atas isi
175,fear,jd kaya balik gitu dulu socmed jd escape buat gue ekspresiin gila skrg hubung socmed jd lebih rem dr dunia nyata eh jd dunia nyata yg gue jadiin escape socmed
176,anger,nama sengkuni pak janji mau jalan kaki jogja jakarta tidak penuh sengkuni sengkuni
177,happy,ku sadar satu pilih ku sama tempat jalan hari semangat baru tak indah yg ku harap tak buruk yg ku bayang ku tetap diri jalan hari penuh warna yg ngerti pst nyanyi
178,anger,maklum pak jakarta sarang gerombol radikal tinggal kabur pentol mek
179,sadness,duka karna tak mampu kata sedih ku karna sakit ku emot mekkel sip
180,anger,enak metal bong bobok hotel prodeo pecat mak mega hahahahaha makanya jangan sok metal lo kelar hidup lo jerat ott pdip pecat bupati purbalingga url lewat
181,sadness,wib benar benar hilang sosok laki laki rawat dari kecil didik rawat lindung dan benar benar hilang moga tenang sana moga anak bisa jadi anak guna
182,sadness,video yg atas yg tulis dulu pas kapan ilc jg bahas apa iya kecewa sama pak mahfud
183,anger,boi gimane nih wifi ganggu mulu jan mau kalah lah ama indie home kalo ampe bsk ganggu gue pake indie home aja lah
184,happy,baca buku awal senyum tengah tengah senyum miris akhir senyum pasrah nuhun bung
185,anger,gak heran sih sama driver gocar yg ngeluh macet sama kayak gue ngeluh pas kerja serah deh pak pura gak denger capek soal
186,anger,mardani mingkem bisa jawab makanya masyarakat cerdas sesat
187,fear,penting materi kode etik ajar sejak sd minimal ilmu ilmu dasar buat baik sopan atur lah kalo ga jadi kaya gitu bablas ga peka ada gue lupa dulu bk pkn sosum bahas apa ada si kesana tp ga khusus jadi ga ngena
188,anger,pas masuk udah bilang iyah soal bingung sana mana macet duh juga ambil order pak bom jam kantor pulang lo macet jg lampu merah doang jalan bom tauk cikampek sama jorr nih
189,happy,nama anis udah kelar walopun bom official dalam masa bahagia banget karna udah lulus masih sendiri kali yang pesona
190,fear,mbak bulan mbak bulan datang skrng aja jangan tgl biasa kalo kamu datang sperti biasa mungkin ikut sholat iednya mbak bul
191,happy,ambi siang buka situs online trading sekuritas lihat indeks saham warna warni trus klik klik cantik bego klik tombol buy submit and success
192,happy,cont ajar prinsip pegang prinsip lebih teguuhh goda bikin goyah integritas nyata banyak lur neng teman banyak tipe harga ajar lebih dewasa ga gampang pundung bahagia tiap ada wkw karakteristik ajar paham
193,anger,korban berani speak up malah dibully bilang lebay ironis ga sedikit kaum hawa yg ikut nyinyirin kayak kalian biasa dikirimin foto titit deh empati buat sama cewek jadi ga
194,anger,damai taik lo soekarno yg bubar partai islam masyumi zaman pak soeharto boleh masyumi jadi keluarga besar bulan bintang lalu partai bulan bintang begok dungu sok tau cebong url
195,anger,cewe kena sexual harassment berani buat speak up eh malah dinyinyirin yg nyinyir cewe jg huhu heran deh sm netijen mata dia semua serba salah dasar cebong
196,happy,orang dateng kandang pakai sederhana cuma kaos oblong celana training mau keliling kandang buat milih sapi sekali transaksi capai epic beliau orang taat ibadah royal punya anak gadis nga pak
197,happy,gara jadi googling berita tp ada yg confirm duhhh nanti berita benar pasang favorite ku dr jaman kala url
198,love,baru liat bener bener dengerin seksama nissa sabyan nya lg naik daun asli ga rusak rusak suara flawless bening benerrr kaya gelas beling abis cuci pake unlight jadi bersih sinar gitu deh heran
199,sadness,innalillahi wa inna ilaihi rajiun kabar duka limut aceh waris sultan aceh teungku putro safiatuddin cahya nur alam kabar tinggal dunia kota mataram nusa tenggara barat ntb rabu sekira pukul wita url
200,sadness,ken asa sulit sekali gapai sudah anugrah jalan mudah malah mau allah kok begini dunia engkau cipta
201,anger,lambat laun kok makin ga jelas makin kurang ajar gw sabar jujur gw ga pernah ga mau scr frontal maki org gw blg baik nasehatin scr adek
